Date,Time,Region,User Type,Consumption (kWh),Datetime,Time Category,Peak Hour
2024-01-01,00:00,North Zone,Residential,704,2024-01-01 00:00:00,Night,No
2024-01-01,00:00,North Zone,Commercial,591,2024-01-01 00:00:00,Night,No
2024-01-01,00:00,North Zone,Industrial,215,2024-01-01 00:00:00,Night,No
2024-01-01,06:00,North Zone,Residential,941,2024-01-01 06:00:00,Morning,No
2024-01-01,06:00,North Zone,Commercial,1769,2024-01-01 06:00:00,Morning,No
2024-01-01,06:00,North Zone,Industrial,456,2024-01-01 06:00:00,Morning,No
2024-01-01,12:00,North Zone,Residential,1749,2024-01-01 12:00:00,Afternoon,No
2024-01-01,12:00,North Zone,Commercial,153,2024-01-01 12:00:00,Afternoon,No
2024-01-01,12:00,North Zone,Industrial,1398,2024-01-01 12:00:00,Afternoon,No
2024-01-01,18:00,North Zone,Residential,1108,2024-01-01 18:00:00,Evening,Yes
2024-01-01,18:00,North Zone,Commercial,1881,2024-01-01 18:00:00,Evening,Yes
2024-01-01,18:00,North Zone,Industrial,1709,2024-01-01 18:00:00,Evening,Yes
2024-01-01,00:00,South Zone,Residential,971,2024-01-01 00:00:00,Night,No
2024-01-01,00:00,South Zone,Commercial,586,2024-01-01 00:00:00,Night,No
2024-01-01,00:00,South Zone,Industrial,1885,2024-01-01 00:00:00,Night,No
2024-01-01,06:00,South Zone,Residential,1244,2024-01-01 06:00:00,Morning,No
2024-01-01,06:00,South Zone,Commercial,191,2024-01-01 06:00:00,Morning,No
2024-01-01,06:00,South Zone,Industrial,467,2024-01-01 06:00:00,Morning,No
2024-01-01,12:00,South Zone,Residential,1514,2024-01-01 12:00:00,Afternoon,No
2024-01-01,12:00,South Zone,Commercial,1580,2024-01-01 12:00:00,Afternoon,No
2024-01-01,12:00,South Zone,Industrial,713,2024-01-01 12:00:00,Afternoon,No
2024-01-01,18:00,South Zone,Residential,1514,2024-01-01 18:00:00,Evening,Yes
2024-01-01,18:00,South Zone,Commercial,889,2024-01-01 18:00:00,Evening,Yes
2024-01-01,18:00,South Zone,Industrial,694,2024-01-01 18:00:00,Evening,Yes
2024-01-01,00:00,East Zone,Residential,146,2024-01-01 00:00:00,Night,No
2024-01-01,00:00,East Zone,Commercial,1886,2024-01-01 00:00:00,Night,No
2024-01-01,00:00,East Zone,Industrial,254,2024-01-01 00:00:00,Night,No
2024-01-01,06:00,East Zone,Residential,240,2024-01-01 06:00:00,Morning,No
2024-01-01,06:00,East Zone,Commercial,533,2024-01-01 06:00:00,Morning,No
2024-01-01,06:00,East Zone,Industrial,559,2024-01-01 06:00:00,Morning,No
2024-01-01,12:00,East Zone,Residential,730,2024-01-01 12:00:00,Afternoon,No
2024-01-01,12:00,East Zone,Commercial,201,2024-01-01 12:00:00,Afternoon,No
2024-01-01,12:00,East Zone,Industrial,169,2024-01-01 12:00:00,Afternoon,No
2024-01-01,18:00,East Zone,Residential,1628,2024-01-01 18:00:00,Evening,Yes
2024-01-01,18:00,East Zone,Commercial,315,2024-01-01 18:00:00,Evening,Yes
2024-01-01,18:00,East Zone,Industrial,1972,2024-01-01 18:00:00,Evening,Yes
2024-01-01,00:00,West Zone,Residential,1991,2024-01-01 00:00:00,Night,No
2024-01-01,00:00,West Zone,Commercial,1890,2024-01-01 00:00:00,Night,No
2024-01-01,00:00,West Zone,Industrial,1178,2024-01-01 00:00:00,Night,No
2024-01-01,06:00,West Zone,Residential,1376,2024-01-01 06:00:00,Morning,No
2024-01-01,06:00,West Zone,Commercial,868,2024-01-01 06:00:00,Morning,No
2024-01-01,06:00,West Zone,Industrial,359,2024-01-01 06:00:00,Morning,No
2024-01-01,12:00,West Zone,Residential,1696,2024-01-01 12:00:00,Afternoon,No
2024-01-01,12:00,West Zone,Commercial,691,2024-01-01 12:00:00,Afternoon,No
2024-01-01,12:00,West Zone,Industrial,595,2024-01-01 12:00:00,Afternoon,No
2024-01-01,18:00,West Zone,Residential,1013,2024-01-01 18:00:00,Evening,Yes
2024-01-01,18:00,West Zone,Commercial,1086,2024-01-01 18:00:00,Evening,Yes
2024-01-01,18:00,West Zone,Industrial,1044,2024-01-01 18:00:00,Evening,Yes
2024-01-02,00:00,North Zone,Residential,1639,2024-01-02 00:00:00,Night,No
2024-01-02,00:00,North Zone,Commercial,149,2024-01-02 00:00:00,Night,No
2024-01-02,00:00,North Zone,Industrial,524,2024-01-02 00:00:00,Night,No
2024-01-02,06:00,North Zone,Residential,1087,2024-01-02 06:00:00,Morning,No
2024-01-02,06:00,North Zone,Commercial,125,2024-01-02 06:00:00,Morning,No
2024-01-02,06:00,North Zone,Industrial,962,2024-01-02 06:00:00,Morning,No
2024-01-02,12:00,North Zone,Residential,1952,2024-01-02 12:00:00,Afternoon,No
